sim name,Om,h,w,s8,z,mu_vec,pdf,poisson,mean,var,3th,4th,5th,6th,7th,8th,9th,10th
C049,0.2,0.737374,-1.0212,0.7404,2.6913,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.0007921  0.00081157 0.00083104 ... 0.00026367 0.00025826 0.00025285],"[1.66183390e-05 1.68125255e-05 1.70067119e-05 ... 6.40303956e-06
 6.33812672e-06 6.27321388e-06]",0.9999491846698074,0.009847962525136767,0.003665132440453432,0.006015097537444974,0.01588380345737365,0.05334769947245075,0.20043390918848314,0.8031887831971034,3.3553888320549015,14.428283110620429
C039,0.2566,0.618182,-0.7909,0.801,0.3729,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00048255 0.00048152 0.00048049],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.07513788e-06
 4.07090896e-06 4.06668004e-06]",1.000000312956575,0.00018304568832407887,2.957881865974833e-05,2.531143129251789e-05,5.066661733355898e-05,0.00013466398621811754,0.00039004023395760614,0.0011645397609940128,0.003520838252209374,0.01070672851018334
C029,0.3556,0.60202,-0.9848,0.7545,2.3361,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00034382 0.00035007 0.00035632],"[1.55172439e-06 1.50200383e-06 1.45228327e-06 ... 7.86662067e-06
 7.94096082e-06 8.01530096e-06]",0.9997689349819324,0.017055833208430297,0.01033486891436089,0.021101378314594587,0.06215576111604252,0.22045493820057122,0.8563755704380854,3.508441902452938,14.881857176788628,64.69052382914911
C048,0.2081,0.723232,-0.8758,0.7384,2.4006,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.00030755 0.00032077 0.00033399 ... 0.00030562 0.00030437 0.00030313],"[9.77909908e-06 9.97866179e-06 1.01782245e-05 ... 6.71834732e-06
 6.70444586e-06 6.69054439e-06]",0.9999512577661822,0.008185758944205805,0.0031945953287329182,0.005364371098883961,0.014469840959920844,0.04885120175916639,0.18310018742440318,0.7288049270259801,3.017284215939641,12.845922798099512
C067,0.3414,0.670707,-0.7727,0.7323,3.7197,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00045328 0.00046252 0.00047175],"[2.50755623e-06 2.79799136e-06 3.05768233e-06 ... 9.63146435e-06
 9.73288047e-06 9.83429658e-06]",0.9994637562601775,0.030089898999096188,0.020699239543372664,0.04461302947904107,0.13173707123963324,0.46609824708880637,1.8044507190344459,7.371064928822307,31.19887461296422,135.43766743270155
C046,0.3535,0.7757580000000001,-1.0091,0.8798,1.3454,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00042972 0.00042132 0.00041292],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.25006920e-06
 8.17257018e-06 8.09507116e-06]",0.9997846695394201,0.010426760044204427,0.007511046669374974,0.016095347382661232,0.04928580519378563,0.17809495471318498,0.7000621679080222,2.892207846663141,12.344293274533342,53.907887026781054
C006,0.3939,0.6606059999999999,-1.1485,0.7707,1.5669,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00039477 0.00039473 0.00039468],"[7.23269879e-07 5.79792231e-07 4.36314582e-07 ... 8.00509776e-06
 8.00417223e-06 8.00324671e-06]",0.9998552873606064,0.011461334792998046,0.00695500198255135,0.014112598527580173,0.042223050722377434,0.15158434815559996,0.595327200762737,2.4641446574826125,10.555759004263727,46.32618801363409
C042,0.3152,0.674747,-1.2818,0.7626,0.2598,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00054349 0.00054299 0.00054249],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.72509802e-06
 3.72337869e-06 3.72165935e-06]",1.0000004516592205,9.558761622999794e-05,8.156243431315088e-06,2.3888649120400874e-06,1.3826222322107019e-06,1.1655848781092278e-06,1.1830359153835876e-06,1.3184158471456345e-06,1.5456380998222497e-06,1.8666696661544483e-06
C006,0.3939,0.6606059999999999,-1.1485,0.7707,0.3683,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00046794 0.0004656  0.00046326],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.75782887e-06
 4.74670059e-06 4.73557231e-06]",1.0000009504836598,0.00039283418605976666,7.74032971012812e-05,7.591610406747902e-05,0.00016498586850486715,0.0004824450280182775,0.001573205450139437,0.005377457820662371,0.01882061200861077,0.06675425882298033
C028,0.3091,0.777778,-1.1303,0.8778,1.8293,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.0004404  0.00044798 0.00045555],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.76878031e-06
 8.84429124e-06 8.91980217e-06]",0.999694890932658,0.01519070939955959,0.010888421624065748,0.023466295103286478,0.07145541160433154,0.2574471102879582,1.0104873715591138,4.174047331832047,17.834402949813473,78.052918147164
